Step(mm),堀式（L: 黒 R: 白）,柳田式3Fix（L: 黒 R: 白)#Bp_0.251935
0,4.10,1.83
1,4.54,1.65
2,5.04,1.98
3,5.28,2.30
4,5.28,2.22
5,5.04,1.80
6,4.60,1.78
7,4.00,1.74
8,4.13,1.58
9,4.65,1.47
10,4.95,1.84
11,4.99,2.04
12,4.85,1.92
13,4.47,1.56
14,3.94,1.57
15,3.76,1.54
16,4.28,1.41
17,4.62,1.35
18,4.72,1.71
19,4.62,1.84
20,4.33,1.70
21,3.86,1.40
22,3.43,1.42
23,3.94,1.39
24,4.31,1.31
25,4.48,1.28
26,4.45,1.62
27,4.21,1.69
28,3.82,1.52
29,3.34,1.29
30,3.67,1.32
31,4.07,1.29
32,4.27,1.25
33,4.30,1.32
34,4.13,1.59
35,3.79,1.61
36,3.32,1.40
37,3.40,1.24
38,3.84,1.28
39,4.09,1.26
40,4.17,1.25
41,4.07,1.40
42,3.80,1.58
43,3.38,1.57
44,3.23,1.29
45,3.67,1.22
46,3.96,1.26
47,4.08,1.25
48,4.02,1.27
49,3.81,1.48
50,3.42,1.61
51,3.04,1.57
52,3.47,1.18
53,3.81,1.23
54,3.99,1.28
55,4.00,1.27
56,3.83,1.33
57,3.50,1.56
58,3.04,1.67
59,3.34,1.59
60,3.71,1.18
61,3.93,1.27
62,3.98,1.32
63,3.87,1.34
64,3.59,1.43
65,3.15,1.70
66,3.21,1.79
67,3.62,1.65
68,3.89,1.25
69,4.00,1.35
70,3.95,1.40
71,3.71,1.45
72,3.30,1.59
73,3.13,1.88
74,3.57,1.95
75,3.88,1.70
76,4.07,1.35
77,4.05,1.47
78,3.87,1.53
79,3.49,1.63
80,3.08,1.84
81,3.53,2.14
82,3.89,2.19
83,4.12,1.74
84,4.18,1.51
85,4.04,1.63
86,3.71,1.70
87,3.22,1.86
88,3.53,2.18
89,3.97,2.48
90,4.22,2.50
91,4.34,1.71
92,4.25,1.73
93,3.96,1.87
94,3.48,1.95
95,3.53,2.19
96,4.00,2.62
97,4.34,2.95
98,4.52,2.89
99,4.48,1.75
