Step(mm),柳田式3Fix（L: 黒 R: 白)#Bp_0.25193,堀式（L: 黒 R: 白）
0,145.15,156.45
1,145.10,155.68
2,136.08,157.43
3,132.88,159.46
4,139.61,160.69
5,142.99,160.98
6,146.03,161.01
7,148.56,160.72
8,150.59,159.97
9,147.86,160.59
10,139.95,162.70
11,139.24,164.01
12,146.06,164.34
13,148.76,164.39
14,151.14,164.07
15,152.85,163.32
16,154.32,163.02
17,149.35,165.36
18,143.36,166.67
19,144.76,167.27
20,151.19,167.34
21,153.34,167.05
22,154.88,166.29
23,156.21,165.54
24,156.82,167.43
25,150.32,168.55
26,145.97,169.20
27,149.28,169.21
28,154.87,169.22
29,156.12,168.44
30,157.19,167.73
31,157.83,168.91
32,157.91,170.24
33,150.53,170.95
34,147.93,170.97
35,153.25,170.86
36,157.22,170.33
37,158.01,169.67
38,158.36,169.78
39,158.21,171.34
40,157.23,172.04
41,149.78,172.18
42,149.32,171.91
43,156.10,171.56
44,158.40,170.93
45,158.62,170.34
46,158.11,171.94
47,157.49,172.74
48,154.34,172.93
49,148.44,172.79
50,150.10,172.49
51,157.86,171.80
52,158.39,171.05
53,157.85,172.10
54,156.86,172.84
55,155.45,172.96
56,150.85,172.85
57,146.82,172.63
58,150.19,171.83
59,157.60,171.12
60,156.83,171.62
61,155.85,172.62
62,154.17,172.72
63,152.19,172.64
64,146.45,172.28
65,144.37,171.65
66,149.84,170.88
67,155.72,170.71
68,154.40,171.66
69,152.77,172.02
70,150.57,171.94
71,147.99,171.55
72,141.63,170.94
73,141.71,170.18
74,148.50,169.34
75,152.42,170.18
76,150.55,170.46
77,148.17,170.36
78,145.54,170.05
79,142.29,169.43
80,135.90,168.64
81,138.05,167.60
82,146.49,168.19
83,148.06,168.58
84,145.65,168.39
85,142.91,168.11
86,139.70,167.51
87,135.68,166.58
88,130.12,165.63
89,134.10,165.54
90,143.48,166.05
91,142.25,165.79
92,139.41,165.54
93,136.22,165.00
94,132.63,164.23
95,127.66,163.18
96,123.73,162.59
97,129.70,163.08
98,138.84,162.98
99,136.04,162.71
