Step(mm),回転ずれなし（L: 黒 R: 白）,回転ずれあり（L: 黒 R: 白）#+0.8832°
0,14.33,13.70
1,13.92,13.72
2,13.55,13.59
3,13.39,13.60
4,15.17,13.57
5,14.67,13.45
6,13.94,13.50
7,13.60,13.44
8,13.34,13.44
9,15.46,13.43
10,14.67,13.36
11,14.18,13.34
12,13.65,13.36
13,13.36,13.29
14,15.90,13.34
15,14.95,13.30
16,14.22,13.22
17,13.77,13.19
18,13.36,13.20
19,15.04,13.18
20,15.21,13.08
21,14.51,13.17
22,13.80,13.08
23,13.42,13.07
24,13.20,13.08
25,15.52,13.00
26,14.81,13.07
27,14.06,13.01
28,13.58,13.04
29,13.22,13.02
30,15.90,12.99
31,15.01,12.87
32,14.31,12.90
33,13.72,12.92
34,13.32,12.86
35,16.45,12.87
36,15.48,12.84
37,14.61,12.88
38,13.84,12.96
39,13.37,12.83
40,14.54,12.82
41,15.57,12.83
42,14.87,12.80
43,14.07,12.83
44,13.43,12.73
45,13.11,12.77
46,16.12,12.71
47,15.21,12.74
48,14.25,12.71
49,13.65,12.77
50,13.28,12.69
51,16.43,12.72
52,15.54,12.69
53,14.79,12.74
54,13.91,12.77
55,13.40,12.69
56,16.89,12.69
57,15.86,12.65
58,14.86,12.69
59,14.27,12.69
60,13.56,12.68
61,14.15,12.65
62,16.41,12.71
63,15.22,12.71
64,14.47,12.70
65,13.74,12.65
66,13.28,12.66
67,16.86,12.71
68,15.63,12.69
69,14.96,12.71
70,14.14,12.71
71,13.51,12.72
72,17.29,12.71
73,16.03,12.71
74,15.33,12.72
75,14.45,12.73
76,13.67,12.72
77,17.89,12.75
78,16.77,12.70
79,15.64,12.66
80,14.80,12.77
81,14.00,12.72
82,13.81,12.74
83,17.26,12.74
84,16.05,12.74
85,15.13,12.75
86,14.27,12.75
87,13.63,12.77
88,17.90,12.80
89,16.60,12.77
90,15.55,12.85
91,14.70,12.82
92,13.75,12.83
93,18.50,12.82
94,17.10,12.81
95,16.01,12.84
96,15.07,12.84
97,14.11,12.83
98,18.69,12.84
99,17.32,12.86
