Step(mm),回転ずれなし（L: 黒 R: 白）
0,14.75
1,15.70
2,15.10
3,14.78
4,14.57
5,14.55
6,15.83
7,15.29
8,14.86
9,14.57
10,14.49
11,15.88
12,15.38
13,14.93
14,14.58
15,14.45
16,14.50
17,15.64
18,15.07
19,14.63
20,14.40
21,14.39
22,15.82
23,15.24
24,14.71
25,14.44
26,14.34
27,16.11
28,15.29
29,14.84
30,14.48
31,14.32
32,15.49
33,15.51
34,15.01
35,14.63
36,14.35
37,14.21
38,15.76
39,15.23
40,14.73
41,14.41
42,14.16
43,16.09
44,15.34
45,14.91
46,14.52
47,14.19
48,16.49
49,15.57
50,15.03
51,14.53
52,14.30
53,15.17
54,15.84
55,15.31
56,14.78
57,14.36
58,14.14
59,16.28
60,15.54
61,14.82
62,14.52
63,14.21
64,16.55
65,15.66
66,15.15
67,14.69
68,14.33
69,16.84
70,16.09
71,15.33
72,14.77
73,14.41
74,14.92
75,16.56
76,15.72
77,15.12
78,14.55
79,14.28
80,16.87
81,15.88
82,15.17
83,14.66
84,14.36
85,17.19
86,16.24
87,15.63
88,14.94
89,14.57
90,17.52
91,16.57
92,15.90
93,15.20
94,14.64
95,14.68
96,17.23
97,16.30
98,15.52
99,15.00
