Step(mm),回転ずれなし（L: 黒 R: 白）,回転ずれあり（L: 黒 R: 白）#+0.3028,回転ずれあり（L: 黒 R: 白）#1.1233,回転ずれなし2（L: 黒 R: 白）,回転ずれあり（L: 黒 R: 白）#-0.4763°,回転ずれあり（L: 黒 R: 白）#-1.0874,回転ずれあり（L: 黒 R: 白）#-2.1233
0,13.12,13.85,13.20,13.19,14.61,13.42,
1,16.14,13.84,13.15,13.82,14.72,13.39,
2,14.98,13.89,13.22,14.21,14.72,13.36,
3,14.18,13.80,13.12,15.28,14.43,13.37,
4,13.67,13.87,13.22,15.80,14.53,13.29,
5,13.12,13.87,13.19,17.09,14.45,13.36,
6,16.20,13.80,13.05,13.27,14.53,13.35,
7,15.38,13.76,13.06,13.77,14.51,13.27,
8,14.46,13.76,13.19,14.49,14.41,13.29,
9,13.66,13.80,13.12,15.51,14.55,13.31,
10,13.18,13.67,13.15,16.26,14.56,13.24,
11,12.92,13.78,13.14,12.97,14.52,13.23,
12,15.65,13.76,13.03,13.39,14.41,13.29,
13,14.79,13.75,13.04,13.98,14.25,13.22,
14,14.08,13.78,13.03,14.78,14.42,13.19,
15,13.33,13.72,13.09,15.54,14.51,13.21,
16,12.95,13.72,13.02,16.45,14.34,13.22,
17,14.04,13.75,13.06,13.11,14.46,13.18,
18,15.14,13.74,13.02,13.57,14.27,13.17,
19,14.29,13.62,13.00,14.14,14.37,13.17,
20,13.57,13.68,12.98,14.86,14.40,13.15,
21,13.16,13.66,13.00,15.79,14.36,13.16,
22,12.71,13.61,12.96,17.07,14.21,13.18,
23,15.64,13.64,12.97,13.18,14.18,13.10,
24,14.69,13.61,13.00,13.77,14.20,13.09,
25,13.95,13.63,12.96,14.46,14.31,13.10,
26,13.27,13.65,12.94,15.30,14.23,13.10,
27,12.81,13.54,12.94,16.25,14.23,13.13,
28,12.60,13.58,12.98,12.84,14.24,13.09,
29,15.14,13.60,12.93,13.42,14.27,13.11,
30,14.23,13.56,13.02,13.97,14.17,13.05,
31,13.49,13.58,12.95,14.92,14.02,13.03,
32,13.02,13.56,12.90,15.88,14.08,13.01,
33,12.60,13.46,12.96,16.58,14.19,13.04,
34,15.53,13.55,12.94,12.94,14.12,13.01,
35,14.78,13.57,12.94,13.45,14.03,13.02,
36,13.85,13.45,12.92,14.14,14.15,13.04,
37,13.18,13.50,12.90,14.92,14.17,13.00,
38,12.81,13.48,12.93,16.31,14.02,13.02,
39,12.47,13.57,12.99,15.99,14.09,12.98,
40,15.26,13.53,12.86,13.28,14.12,12.97,
41,14.17,13.44,12.90,13.65,14.07,12.99,
42,13.40,13.55,12.86,14.72,14.05,12.98,
43,12.88,13.45,12.96,15.31,13.98,12.98,
44,12.53,13.35,12.91,16.39,13.97,12.96,
45,12.31,13.36,12.94,12.76,13.99,12.99,
46,14.61,13.54,12.91,13.31,13.97,12.98,
47,13.97,13.42,12.90,14.01,14.04,12.95,
48,13.30,13.40,12.90,14.95,14.02,12.94,
49,12.73,13.38,12.96,15.96,13.99,12.96,
50,12.44,13.45,12.92,16.78,14.06,12.95,
51,15.15,13.35,12.83,12.95,14.01,12.97,
52,14.19,13.54,12.95,13.52,14.03,12.95,
53,13.50,13.53,12.83,14.28,13.81,12.99,
54,13.00,13.38,12.83,15.21,13.98,13.03,
55,12.48,13.51,12.94,16.37,13.77,12.91,
56,12.26,13.50,12.81,12.75,13.98,12.92,
57,14.87,13.44,12.88,13.24,13.95,12.93,
58,13.80,13.38,12.90,13.75,13.87,12.91,
59,13.29,13.51,12.92,14.52,13.87,12.94,
60,12.62,13.43,12.81,15.50,13.88,12.91,
61,12.32,13.36,12.93,16.52,13.86,12.91,
62,12.63,13.50,12.95,12.95,13.93,12.93,
63,14.34,13.44,12.95,13.40,13.89,12.90,
64,13.58,13.50,12.90,14.07,13.91,12.99,
65,13.01,13.44,12.84,14.86,13.83,12.96,
66,12.47,13.44,12.86,16.16,13.87,12.91,
67,12.22,13.46,12.90,17.12,13.83,12.91,
68,14.88,13.39,12.86,13.13,13.84,12.98,
69,13.89,13.35,12.95,13.67,13.89,12.92,
70,13.23,13.38,12.80,14.39,13.82,12.92,
71,12.67,13.44,12.88,15.53,13.71,12.93,
72,12.29,13.42,12.83,16.50,13.86,12.92,
73,12.18,13.37,12.84,12.73,13.80,12.93,
74,14.41,13.44,12.93,13.23,13.86,12.89,
75,13.57,13.48,12.92,13.90,13.75,12.96,
76,13.06,13.34,12.92,14.74,13.80,12.96,
77,12.55,13.43,12.91,15.64,13.85,12.90,
78,12.22,13.47,12.93,16.77,13.66,12.96,
79,14.56,13.50,12.87,12.89,13.75,13.00,
80,13.93,13.39,12.82,13.44,13.76,12.94,
81,13.18,13.33,12.85,14.17,13.83,12.95,
82,12.75,13.35,12.79,15.10,13.82,12.99,
83,12.34,13.36,12.84,16.24,13.76,12.96,
84,12.14,13.34,12.84,17.03,13.71,12.93,
85,14.34,13.38,12.85,13.18,13.79,12.94,
86,13.61,13.33,12.88,13.73,13.76,12.94,
87,13.05,13.47,12.93,14.51,13.62,13.00,
88,12.58,13.38,12.95,15.70,13.77,12.99,
89,12.23,13.35,12.88,16.61,13.78,12.97,
90,12.10,13.39,12.96,12.76,13.69,12.96,
91,13.98,13.36,12.94,13.31,13.78,12.98,
92,13.29,13.37,12.97,14.07,13.76,13.01,
93,12.87,13.40,12.94,14.92,13.63,12.99,
94,12.37,13.40,12.93,16.05,13.69,13.09,
95,12.16,13.50,12.95,17.11,13.76,12.99,
96,14.44,13.43,12.94,13.16,13.75,13.03,
97,13.76,13.40,12.91,13.62,13.77,13.11,
98,13.14,13.40,12.93,14.36,13.71,13.12,
99,12.54,13.51,12.89,15.34,13.70,13.02,
