Step(mm),西村式32型（L: 黒 R: 白）
0,2.10
1,2.11
2,2.11
3,2.13
4,2.19
5,2.18
6,2.16
7,2.09
8,2.03
9,2.06
10,2.12
11,2.33
12,2.70
13,2.36
14,3.16
15,2.61
16,2.76
17,2.43
18,2.57
19,2.34
20,2.25
21,2.18
22,2.18
23,2.09
24,2.09
25,2.12
26,2.25
27,2.31
28,2.36
29,2.39
30,2.24
31,2.24
32,2.16
33,2.24
34,2.20
35,2.23
36,2.28
37,2.26
38,2.34
39,2.24
40,2.26
41,2.38
42,2.59
43,2.58
44,2.53
45,2.49
46,2.42
47,2.34
48,2.38
49,2.56
50,2.66
51,2.68
52,2.87
53,2.85
54,3.24
55,3.11
56,3.01
57,3.01
58,2.89
59,2.85
60,2.72
61,2.67
62,2.55
63,2.58
64,2.67
65,2.63
66,2.52
67,2.57
68,2.69
69,2.60
70,2.66
71,2.72
72,3.04
73,3.06
74,3.02
75,3.00
76,2.92
77,2.88
78,2.72
79,2.76
80,2.76
81,2.76
82,2.75
83,2.96
84,3.15
85,2.86
86,3.19
87,3.89
88,3.60
89,1.94
90,5.37
91,3.56
92,3.38
93,3.22
94,2.96
95,3.06
96,2.89
97,2.94
98,3.01
99,2.90
