Step(mm),回転ずれなし（L: 黒 R: 白）,回転ずれあり（L: 黒 R: 白）#+1.2680°,回転ずれあり（L: 黒 R: 白）#-2.0960°,回転ずれあり（L: 黒 R: 白）#+1.4110°
0,10.20,10.70,10.32,9.28
1,10.84,10.67,10.32,9.22
2,10.38,10.72,10.23,9.29
3,10.17,10.72,10.24,9.24
4,10.19,10.71,10.26,9.20
5,10.17,10.67,10.31,9.22
6,10.61,10.81,10.17,9.19
7,10.30,10.71,10.19,9.18
8,10.16,10.66,10.25,9.19
9,10.06,10.66,10.19,9.18
10,10.10,10.71,10.17,9.17
11,10.65,10.59,10.14,9.11
12,10.28,10.67,10.07,9.09
13,10.11,10.59,10.14,9.09
14,10.00,10.62,10.18,9.08
15,10.03,10.64,10.14,9.03
16,10.57,10.57,10.10,9.04
17,10.24,10.64,10.03,9.00
18,10.09,10.60,9.98,9.04
19,10.00,10.58,10.06,9.05
20,9.98,10.61,10.04,9.03
21,10.56,10.59,10.02,9.00
22,10.28,10.63,9.95,8.98
23,10.07,10.60,9.97,9.00
24,9.98,10.60,9.97,8.97
25,9.97,10.60,9.96,8.98
26,10.50,10.61,10.02,8.96
27,10.19,10.63,9.90,9.01
28,10.02,10.63,9.90,8.95
29,9.89,10.64,9.98,8.99
30,9.95,10.63,9.88,8.99
31,10.48,10.65,10.00,8.95
32,10.20,10.66,9.87,8.93
33,10.05,10.69,9.95,8.93
34,9.96,10.60,9.85,9.01
35,9.95,10.66,9.95,8.95
36,10.05,10.60,9.82,8.95
37,10.21,10.67,9.95,8.93
38,10.00,10.62,9.85,8.89
39,9.93,10.61,9.81,8.93
40,9.87,10.62,9.90,8.88
41,9.97,10.60,9.86,8.90
42,10.15,10.61,9.89,8.92
43,10.02,10.61,9.91,8.93
44,9.91,10.65,9.84,8.89
45,9.92,10.68,9.85,8.91
46,9.97,10.66,9.86,8.87
47,10.18,10.66,9.79,8.91
48,10.03,10.66,9.74,8.92
49,9.95,10.71,9.80,8.89
50,9.89,10.70,9.70,8.90
51,9.92,10.73,9.84,8.91
52,10.28,10.70,9.68,8.89
53,10.05,10.76,9.81,8.90
54,9.97,10.74,9.78,8.92
55,9.93,10.70,9.83,8.88
56,9.93,10.77,9.73,8.94
57,10.20,10.78,9.71,8.91
58,10.02,10.76,9.84,8.92
59,9.93,10.73,9.81,8.92
60,9.91,10.80,9.86,8.90
61,9.93,10.75,9.84,8.93
62,10.27,10.74,9.80,8.90
63,10.06,10.83,9.82,8.89
64,10.01,10.71,9.80,8.91
65,9.89,10.77,9.77,8.91
66,9.98,10.77,9.87,8.89
67,10.23,10.75,9.80,8.98
68,10.02,10.78,9.84,8.94
69,9.93,10.80,9.83,8.96
70,9.89,10.84,9.68,8.95
71,9.91,10.79,9.73,8.97
72,10.06,10.78,9.82,8.96
73,10.10,10.79,9.73,8.96
74,9.96,10.81,9.85,9.01
75,9.92,10.83,9.84,8.94
76,9.96,10.88,9.85,8.98
77,10.06,10.88,9.71,9.00
78,10.09,10.83,9.85,9.03
79,9.95,10.87,9.73,9.02
80,9.92,10.92,9.88,8.98
81,9.96,10.84,9.83,8.99
82,10.08,10.87,9.82,9.03
83,10.11,10.91,9.82,9.05
84,10.02,10.91,9.75,9.05
85,9.98,10.95,9.75,9.07
86,9.92,10.94,9.89,9.09
87,10.04,10.92,9.83,9.04
88,10.10,10.93,9.87,9.07
89,9.93,10.91,9.85,9.04
90,9.89,11.02,9.87,9.11
91,9.92,11.00,9.87,9.10
92,10.03,10.95,9.89,9.09
93,10.13,10.98,9.84,9.13
94,10.00,11.06,9.91,9.09
95,9.90,11.04,9.91,9.09
96,9.97,11.00,9.94,9.14
97,10.06,11.03,9.96,9.17
98,10.10,11.05,9.92,9.18
99,10.02,11.07,9.91,9.17
